"","time","ipc"
"228","2020-12-01",97.574
"229","2021-01-01",97.583
"230","2021-02-01",97.008
"231","2021-03-01",97.949
"232","2021-04-01",99.105
"233","2021-05-01",99.572
"234","2021-06-01",100.046
"235","2021-07-01",99.292
"236","2021-08-01",99.743
"237","2021-09-01",100.575
"238","2021-10-01",102.425
"239","2021-11-01",102.738
"240","2021-12-01",103.965
"241","2022-01-01",103.567
"242","2022-02-01",104.403
"243","2022-03-01",107.566
